key_resp.corr,key_resp.rt,,,seqRT,,,,randRT
1,1.1908308,,1,1.1908308,,,1,0.2884401
1,0.4562019,,1,0.4562019,,,0,0.3611759
1,0.7572003,,1,0.7572003,,,1,0.716431
1,0.325812,,1,0.325812,,,1,0.6621778
1,0.462338,,1,0.462338,,,1,0.3967276
1,0.3544607,,1,0.3544607,,,1,0.4628987
1,0.4379797,,1,0.4379797,,,1,0.4052177
1,0.3498556,,1,0.3498556,,,0,0.4508576
1,0.4976593,,1,0.4976593,,,1,0.8317497
1,0.2930276,,1,0.2930276,,,1,0.6450479
1,0.7426435,,1,0.7426435,,,1,0.397159
1,0.3429324,,1,0.3429324,,,1,0.4156183
1,0.2901609,,1,0.2901609,,,1,0.454305
1,0.3386327,,1,0.3386327,,,1,0.8647233
1,0.7131338,,1,0.7131338,,,1,0.3631143
1,0.1702087,,1,0.1702087,,,1,0.571151
1,0.3139878,,1,0.3139878,,,0,0.5380695
1,0.3048617,,1,0.3048617,,,1,0.627804
1,0.3128766,,1,0.3128766,,,1,0.6076785
1,0.3046183,,1,0.3046183,,,1,0.5942413
1,0.2994564,,1,0.2994564,,,1,0.3806157
1,0.2652629,,1,0.2652629,,,1,0.3052594
1,0.2631405,,1,0.2631405,,,1,0.5210954
1,0.2281661,,1,0.2281661,,,1,0.5796212
1,0.2874381,,1,0.2874381,,,1,0.4005089
1,0.3313956,,1,0.3313956,,,1,0.5239249
1,0.1135026,,1,0.1135026,,,1,0.4218372
1,0.8372911,,1,0.8372911,,,1,0.3831481
1,0.2325821,,1,0.2325821,,,1,0.3344841
1,0.2370814,,1,0.2370814,,,1,0.5439424
1,0.2437021,,1,0.2437021,,,1,0.7311486
1,0.2207149,,1,0.2207149,,,1,0.4785738
1,0.2555417,,1,0.2555417,,,1,0.4434833
1,0.0506536,,1,0.0506536,,,1,0.4254907
1,0.000977,,1,0.000977,,,1,0.4603909
1,0.2109649,,1,0.2109649,,,1,0.4305856
1,0.1087898,,1,0.1087898,,,1,0.4136341
1,0.2623403,,1,0.2623403,,,1,0.3619023
1,0.2732578,,1,0.2732578,,,1,0.4580122
1,0.3209375,,1,0.3209375,,,1,0.3985012
1,0.2820559,,1,0.2820559,,,1,0.7220132
1,0.3433234,,1,0.3433234,,,1,0.7097988
1,0.2568403,,1,0.2568403,,,1,0.5388882
1,0.3326594,,1,0.3326594,,,1,0.4650425
1,0.0129848,,1,0.0129848,,,1,1.2592863
1,0.2375831,,1,0.2375831,,,1,0.4506028
1,0.2466433,,1,0.2466433,,,1,0.4230384
1,0.3877664,,1,0.3877664,,,1,0.4078736
1,0.5709026,,1,0.5709026,,,1,0.53389
1,0.3418593,,1,0.3418593,,,1,0.4639284
1,0.254031,,1,0.254031,,,1,0.4614964
1,0.2825408,,1,0.2825408,,,1,0.6158179
1,0.0411489,,1,0.0411489,,,1,0.4509063
1,0.2545696,,1,0.2545696,,,1,0.5603829
1,0.2045739,,1,0.2045739,,,1,0.4560452
